id,text,target,keywords
2,Asante sana for the zawadi,nothate,
,Ametisha sana sura mbaya,,
,Dini zingine ni za ushetani tuu,,
,Imani  zingine ni za ushetani tuu,,
,Kalemeno wakora,Hate,Wakora
,tugege wakora,,
3,Wote wanajulikana kua wachawi,hate,
5,Ni jukumu la kila mwana nchi kujeng taifa lake,nothate,
,team merimera alikuwa takataka,hate,
,sijafurahishwa,hate,
,kubuni dosari,hate,
,bila kusema nilipoteza pesa zangu utapeli tupu,hate,
,sema kupoteza pesa na wakati shetani mkubwa,hate,
,ubunifu ni isiyo ya kawaida sana kwani kipande cha sikio sio kizuri sana hata,hate,
,akili yako imeoza,hate,
,aki si maisha ni magumu,hate,
,enyewe safaricom ni wezi,hate,
,mtandao duni hata line yao niliweka nyuma ya simu yangunatumia airtel,hate,
,mtandao wenu wa g ni mbaya sana siku hizi tafadhali rekebisheni,hate,
,safaricom si muache kucheza na mkopo wa nambari yangu tafadhali mnanifilisisha,hate,
,hauna haki,hate,
,nyinyi mimi nilinunua laini yenu miaka  iliyopita hata peremende sijawai pata gai hata mtu akioa bibi miaka hiyo yote sianamzaliaheeeee nengereni cia maitho kari gani,hate,
,siwezi kuona jinsi sinema hii inavyoweza kuwa msukumo kwa mtu yeyote kushinda woga na kukataliwa,hate,
,ni mbaya sana ni kweli inafaa kuona kwa sababu hiyo,hate,
,muziki mdogo sana au kitu chochote cha kuzungumzia,hate,
,bado mtaishi kuwa wakora ata hii ofa labda kuna kakitu mnaiba haha,hate,
,,hate,
,inaweza kutabirika kidogo,hate,
,sikuipenda mimi,hate,
,mimi sipenda ujinga,hate,
,ilikuwa na kaimu ya wastani kutoka kwa mtu mkuu na ilikuwa bajeti ya chini kama unavyoweza kuona wazi,hate,
,picha ni mbali na sehemu bora ya mchezo,hate,
,leo picha ni ujinga,hate,
,hili lilikuwa haribifu la dhabiti kutoka kwa mawazo yake,hate,
,sikuvutiwa hata kidogo,hate,
,haisisimui hata kidogo,hate,
,lakini hata carrell mwenye talanta hawezi kuokoa hii,hate,
,hadithi yenyewe ni ya kutabirika tu na ya uvivu,hate,
,lakini chochote kile ambacho kiliwagharimu sana hakikuitafsiri kwa ubora hiyo ni kwa hakika,hate,
,kwa hasi ni ya kutosha kusababisha majuto kwa masaa mengine mawili ya maisha yaliyopotea mbele ya skrini,hate,
,muda mrefu mwepesi na hauna maana,hate,
,lakini napendekeza subiri juhudi zao za baadaye acha hii iende,hate,
,nilikatishwa tamaa katika sinema,hate,
,hakukuwa na joto au haiba yoyote kwa picha hizi au wahusika,hate,
,sinema hii inaoga kabisa kwenye mishipa yangu,hate,
,na kwa uaminifu kabisa mara nyingi sio nzuri sana,hate,
,mara nyingi mazungumzo hayafuati kabisa kutoka kwa mstari mmoja hadi mwingine au inafaa mazingira,hate,
,nisingesema wanafaa masaa  ya wakati wako ingawa,hate,
,shida ilikuwa maandishi,hate,
,ilikuwa ya kutisha,hate,
,tuhuma tu ambayo nilikuwa nahisi ilikuwa ni kufadhaika kwa jinsi wasichana walivyowashukia,hate,
,hakuna kitu cha kuaminika juu yake kabisa,hate,
,kwa kweli baada ya klabu ya pamba na kutokuwa mwaminifu ilikuwa ni aibu kuona lane na gere kwenye filamu hii kwa sababu ni mbaya,hate,
,kitendo kilikuwa kibovu mazungumzo hayakuwa ya kina na ya udanganyifu,hate,
,inasikitisha sana,hate,
,kuelekeza na sinema sio nzuri kabisa,hate,
,saa na nusu napenda ningeweza kurudisha,hate,
,uongozaji unaonekana kuwa wa kawaida sana,hate,
,na kwa ujumla mistari na njama ni dhaifu kuliko sehemu ya wastani,hate,
,walakini hii haikufanya kwa ukweli wa jumla hii ilikuwa sinema ya kuchosha sana,hate,
,kulikuwa na dakika kadhaa kwenye sinema ambazo hazihitaji tu kuwa hapo na zilikuwa zikisonga polepole,hate,
,siwezi kuamini kuwa waigizaji walikubali kufanya filamu hii,hate,
,hii ilikuwa kumbukumbu mbaya ya harusi ya marafiki wangu bora,hate,
,sikuweza kustahimili hata kuitazama kwa muda mrefu sana kwa kuogopa kupoteza iq,hate,
,sinema hii ni janga safi hadithi ni ya kijinga na uhariri ndio mbaya kabisa ambao nimeona unachanganya sana,hate,
,ni kupoteza saa na nusu ya muda kufuatia rundo la watu wazuri sana kulia na kulia juu ya maisha,hate,
,niliona mirrormask jana usiku na ilikuwa uzoefu usioridhisha,hate,
,kaimu ni mbaya na uandishi ni mbaya zaidi,hate,
,nililipa sana,hate,
,tena hakuna mpango hata,hate,
,hakuna mpango wowote,hate,
,mbaya,hate,
,hakuna kiwango au habari,hate,
,nachukia sinema kama hizo,hate,
,namaanisha hii kwa njia mbaya,hate,
,hii ni filamu mbaya iliyo na uandishi mbaya na watendaji wazuri katuni mbaya iliyotengenezwa na paul haggis kwa watu ambao hawawezi kushughulikia chochote isipokuwa viboko vya ujasiri katika kusimulia hadithi picha iliyochorwa na makrayoni,hate,
,ilikuwa jambo nzuri kwamba tikiti hugharimu tu dola tano kwa sababu ningekuwa wazimu ikiwa ningelipa  ili kuona ujuaji huu,hate,
,kila kitu ni cha kutisha,hate,
,filamu hii haina huduma za kukomboa,hate,
,hadithi ni zaidi ya kijinga,hate,
,watoto wanachukiza,hate,
,nitasema tena hii ni mateso,hate,
,huo kabisa bila sifa yoyote hii ni sawa na kuteswa,hate,
,mtu anayeongoza hana dhamana,hate,
,labda kungekuwa na maelezo ya kuridhika kwa udhalimu huu,hate,
,sio safari ya kupendeza ya kujitambua,hate,
,ndio ni mbaya sana,hate,
,hakuna chochote cha kupendekeza,hate,
,sinema hii iliteseka kwa sababu ya uandishi ilihitaji tuhuma zaidi,hate,
,sinema hii ni mbaya,hate,
,mbaya sana,hate,
,kwa kweli hii ni moja wapo ya zile mbaya,hate,
,uwepo wake kwenye skrini uliangaza mawazo hata kama kulikuwa na watendaji wengine wakuu kwenye skrini na yeye,hate,
,sioni kweli jinsi mtu yeyote angefurahiya sinema hii,hate,
,labda ingekuwa bora ikiwa mkurugenzi hangetumia wakati mwingi wa sinema kuonyesha kazi yake mwenyewe ya sanaa ambayo sio ya kushangaza sana,hate,
,usipoteze wakati wako,hate,
,walakini hivi majuzi nilitazama kitu hicho tena kwenye dvd na nilipigwa macho kabisa na jinsi hadithi ya hadithi ilikuwa ya kijinga jinsi ilivyokuwa na mashimo kutokubaliana na kusema ukweli ujangili mwingi na jinsi dansi hiyo ilivyokuwa,hate,
,mishima haifurahishi sana,hate,
,kwa hivyo hadithi nzima haina nguvu fulani,hate,
,kwa kushangaza mimi hupata sinema zake kupoteza muda mwingi kutazama,hate,
,maendeleo ya mhusika pia hayapatikani kwa kina,hate,
,ninamaanisha katika ulimwengu wa kweli asingeweza kuingia kwenye kumbukumbu hiyo ya ballet jambo lote lilikuwa ni ujinga kabisa,hate,
,mazungumzo mabaya zaidi yaliyo wazi kabisa ningeweza kuendelea na kuendelea,hate,
,kwa kusikitisha filamu hiyo inashindwa,hate,
,sinema haina upendeleo wa kuona mchezo wa kuigiza usemi wa hisia na maadhimisho ya uzalendo ambao unasisitiza hadithi hiyo,hate,
,hakuna mwigizaji ambaye ametumika vibaya zaidi kwamba juni allison kwenye sinema hii,hate,
,kwa bahati mbaya hii ni sinema mbaya ambayo ni mbaya kabisa,hate,
,lakini sinema hii sio ya kuchekesha ukizingatia ujinga wake,hate,
,nilitoka ndani nikisikia hasira,hate,
,sina uhakika alikuwa anajaribu kufanya nini na filamu hii,hate,
,ikiwa ilikuwa kugeuza hisia zangu za siku njema kuwa usiku wa kumbukumbu zinazosumbua kuliko nadhani alifanikiwa,hate,
,ililazimishwa kama kila kitu kwenye sinema hii,hate,
,nilipoiona kwenye ukumbi wa michezo nilidhani nitakuwa mgonjwa,hate,
,ukadiriaji  kati ya negative,hate,
,kwa kweli nilitapika nikitazama filamu hii,hate,
,natafsiri sinema kwa ajili ya kuishi na hii ni sinema ya kwanza katika uzoefu wangu wa miaka  wa kufanya kazi ambao nimepata kukosoa akili yangu,hate,
,kwa wale wanaopata sinema hii kuwa ya akili au hata ya ustadi naweza kusema tu ni akili yako na fikira zako waziwazi ulizoea kujaribu na kufanya hisia za jaribio hili la kusikitisha ni kwa asili yetu ya kibinadamu kujaribu na kufanya hisia za mambo,hate,
,lakini wakati mtu anajitahidi kwa ukuu na ushairi lakini akiwasilisha hadithi ya matope na mara nyingi ni ujinga kundi la visa tofauti mazungumzo ya udanganyifu halafu unapata aina mbaya zaidi ya sinema ambayo mhakiki wengine alielezea kwa usahihi kama dharau ujanja,hate,
,jambo moja zaidi naweza kuvumilia usahihi wa kisiasa vizuri mimi ni wote kwa uhuru wa kisanii na kusimamishwa kwa kutokuamini lakini tabia ya kike ya slavic ilikuwa tu sana,hate,
,mipangilio ya malta ni kavu na tasa kama mazungumzo,hate,
,sinema hii ni mbaya,hate,
,kwa wale ambao hawajaiona usipoteze wakati wako,hate,
,kuiita sinema hii mchezo wa kuigiza ni ujinga,hate,
,nilianza kutizama hii lakini sikuamini mhusika yeyote,hate,
,hasa uhusiano kati ya msaidizi wa mkate na kijakazi haukufanya kazi kwangu kabisa,hate,
,nimefurahi sikulipa kuiona,hate,
,sikucheka au hata kutabasamu mara moja,hate,
,kila kitu kuhusu sinema hii ni kijinga,hate,
,hata kama unapenda sinema mbaya usitazame sinema hii,hate,
,ni aibu,hate,
,wahusika mpya hawakuwa wa kukumbukwa kabisa na nilijikuta nikisahau ni nani,hate,
,nilihisi kana kwamba kwenda kwake ireland hakukufanya chochote,hate,
,haikuniogopeshawala kunishtua au kunifanya niwe na huruma kwa wahusika ilikuwa ya kukasirisha tu,hate,
,kulikuwa na majaribio machache ya huruma kuwapa wahusika kina kirefu lakini haikufanya kazi kabisa katika mpango wote uliobaki,hate,
,ikiwa utaiona labda unapaswa kuiacha kwenye rafu,hate,
,lucy bell ni juu sana kuliko ujinga huu na kwa yeye kuzama kwa hali ya chini hii ni ya kufadhaisha,hate,
,karibu nyimbo zote kwenye cover girl ni za zamani na sio za kufurahisha,hate,
,jambo la kuchukiza juu ya msichana wa jalada ni njia ambayo rita hayworth amewekwa juu ya msingi,hate,
,kwa bahati mbaya cover girl ni kielelezo cha jinsi hollywood ilivyokuwa ikiwatumia wanawake kwa faida ya kifedha,hate,
,mbaya zaidi kuliko ticker,hate,
,sinema hiyo ilikuwa mbaya,hate,
,sikuweza kuzichukua kwa uzito,hate,
,nilipenda majengo  ama  tu yaliyotumiwa labda maeneo kadhaa duni hummh,hate,
,natamani ningeweza kuingiza maadili hasi admins,hate,
,seti ni mbaya sana haingeonekana kuwa nje ya mahali kwenye sehemu ya thunderbirds,hate,
